num,date,rating,userName,content
1,2022년 9월 29일,5,황재준,이 게임이 갓게임인 이유 1.5성은 극악의 확률이다. 이런것 없이 5성닌자들이 많이나와 키우는 잼이 있다. 2.내맘대로 술법을 골라쓰는 재미가 있다.이 게임엔 연출이 화려한 술법들이 많다.그레서 눈을 호강 시키며 몬스터들이 있었는데 없어져서 정말 좋다. 3.스테이지가 많아 아주 좋다.차근차근 스테이지를 깨가며 나름대로 스토리도있고 재미 있다.막히는 부분은 공략법을 보며 닌자들을 육성해 깨가는 재미가 있다. 단점은 대요괴 토벌에서 좋은 장비가 나오는 확률이 너무 극악이다.먼가 5성닌자뽑는것에 확률을 몰빵하고 이것을 극악으로 낯춘것 같다.근데예외도 있다.잘나오는 사람도 분명 있을거다.하지만 그레도 확률을 조금더 올렸음 좋겟다. 그레도이겜은 갓겜이다. 아무튼 만드신 분들 고생 많으셨고 수고하셨어요.~~^^
2,2019년 11월 28일,5,Google 사용자,게임 재밌게 잘하고있습니다. 근데 요번에 업데이트를 한 후 버그가 약간 있는것같습니다. 대전댁이 2시간마다 변경될수있도록 됬는데요 대전댁이 아닌 일반댁을 바꿔도 대적댁 시간이 2시간으로 리셋되더라고요 확인부탁드려요 그리고 업데이트이후에 서버에러가 자주 나오기시작합니다 또 장비를 바꾼 후 전투력이 변화되는데요 덱에 현제상태저장을 눌러도 전투력이 이전과 그대로 나옵니다. 업데이트 감사합니다 고생하셨어요^^
3,2020년 1월 20일,5,Google 사용자,게임방식이 직관적인 반면 스킬 조합 부분에서는 흥미가 일만한 퍼즐 요소가 있어서 굉장히 재밌습니다. 또한 한 스킬 사용시 다른 스킬을 동시에 시전할 수 있어서 속도감이 있어서 좋았습니다. 카툰식 디자인이나 깔끔한 인터페이스 등 그래픽적인 부분도 흠 잡을데 없어요. 아직 플레이를 길게 해본 것은 아니라 단점이라 할만한 부분을 발견 못했네요. 흥미가 이는 게임입니다.
4,2020년 3월 12일,5,Google 사용자,"정말 제 인생겜입니다, 컨트롤이 중요시되며 좋은 아이템도 많이 드랍해주어서 무과금도 과금러 뺨치는 수준으로 플레이할수 있습니다. 또 각 스테이지마다 전략을 세워서 플레이를 해야지만 스테이지를 클리어할 수 있기 때문에 전략을 세우는 재미가 있습니다. 정말 꼭 한번 플레이하시기를 추천드립니다."
5,2020년 6월 17일,5,렛츠고흐,게임 다 좋고 재밌습니다. 자기 노력만 있다면 투자한 시간만큼 스펙업도 됌 아직 수정할 부분은 좀 있지만 신규게임에 이 정도면 완성도 높음. 캐릭이 2등신이라 너무 귀여움ㅋㅋ 하나 아쉬운건 전용 아이디를 개설할 수 있었으면 좋겠습니다. 핸드폰을 새로 바꿨는데 그 전 폰으로 해서 새로 깔면 사라져서 아쉽습니다. 아이디를 만들수 있게해주셔서 다른 폰으로도 접속할 수 있었으면 좋겠습니다!
6,2020년 7월 27일,5,이진우,"쉬운 조작에 단순한 디펜스 게임같은 구조를 하고 있지만, 다양한 모드와 뉴비도 쉽게 템을 바꾸면서 올라가는 전투력을 보는 재미는 지금껏 해본 게임중 가장 강력한 중독성을 가지고 있다고 생각합니다. 괴력난신 세트 이후에 약간의 슬럼프가 왔지만 그걸 견뎌내는 순간 재미는 배가 될거라고 확신합니다"
7,2020년 6월 7일,1,정승환,"업데이트 자주 되는 점 때문에 참고 계속 해보려고 했는데, 더이상은 못참겠네요. 뭔 놈의 버그이 파도파도 계속 나오죠?? 스킬 쓰다보면 주인공이 사라지질 않나, 스킬 효과는 적용도 안되고, 무슨 게임이 얼마나 무거우면 스킬 사용시 프레임드랍이 발생하나요? 진짜 업데이트 과정 중에 문제가 있나 싶어서 재설치 몇 번을 하는지.. QA가 일은 하는지 궁금해지는 게임입니다. 와중에 광고는 많이 하시던데, 게임 스타일과는 전혀 다르게 광고하시면 흥미가 생길까요?? 다른 문제를 고치는 것도 중요해 보이는데, 광고가 먼저였을까요?? 별점 한개??? 별점이 한개 미만으로 안내려가는게 다행이라고 생각해주세요 아참, 댓글 수정 작성 기준으로 한달 반이나 지났는데.. 종료버튼은 아직도 없더군요. 이벤트를 바라는게 아닙니다. 적어도 게임이 돌아가는데 이용자의 목소리는 제대로 들어야하지 않을까요??"
8,2019년 12월 14일,2,Google 사용자,게임 자체는 재밌음 그런데 스킬 밸런스 차이가 너무 심해요. 어떤 스킬은 고정으로 가져가고 다른 스킬은 아예 버려야되요. 공략안보고 어떤 스킬이 좋은지 모르면 게임 진행이 안됩니다. 저도 지금 그런 구간에 막혀서 캐삭해야되게 생겼어요. 상황에 맞춰서 다양하게 스킬 구성해서 진행하는 재미가 있었으면 했는데 아쉽네요.
9,2021년 11월 9일,3,이호열,"게임은 잘 만들었습니다. 캐릭터도 귀엽고 인터페이스 조작도 쉽게 접근 가능합니다. 그런데 초반 시작시 보상이 부족한 느낌이 많이 듭니다. 5성급 캐릭터들을 얻기가 힘들어서 초반에 육성할때 동기부여가 잘 안됩니다. 5성이 좋다, 필요하다고 느껴야 다른 캐릭도 키워보고 싶은 마음이 들텐데 얻기가 힘들어서 게임을 하고싶은 마음이 들지 않네요..."
10,2020년 1월 26일,3,Google 사용자,"일단 재미있다. 하지만 올라가는 스테이지를 따라갈 수 없어 자연스럽게 과금이 필요하도록 한다. 플레이 1일차부터 이런 벽에 막히게 된다. 많은 시간들여 극복할 수 있지만, 극복 후에는 또 다른 난관이다. 이 게임에서 스킬 의존도는 높은 편으로 보인다. 앞서 말한 높은 난이도와 더불어 수동 플레이를 요구하기에 긴 시간의 노가다가 필요하다. 요괴를 잡아 아이템을 갖출 수 있지만, 한번에 최대 3번이라는 횟수는 단기간 성장을 막는다. 오래 플레이하지 않아 잘 알 수 없지만, 유저간 대전은 약간 불공평 하다. 금화를 써 상대를 바꿀 수 있지만, 상대 유저 풀이 작은지 몇번 바꾸고나면 다시 똑같은 상대다. 초보자는 스킬업에 필요한 돈만 날리고 패배를 피할 수 없게된다. 대전 보상은 초보자에게 큰 도움이 되는데, 이러한 굴레에 빠지게 되면 보상수령까지 수많은 패배를 경험하게된다."
